year,E_mean,water_mean,carbon_mean,energy_mean,climate_mean,emissions_mean
2015,19.357833333333335,56.29916666666667,7.974999999999999,22.05333333333333,5.971666666666667,4.49
2016,20.0905,61.18416666666667,8.015833333333333,20.603333333333335,6.159166666666667,4.49
2017,20.590666666666664,63.35833333333333,8.104999999999999,20.440833333333334,6.559166666666666,4.49
2018,21.433666666666667,66.52833333333334,8.733333333333333,21.141666666666666,6.2749999999999995,4.49
2019,21.442833333333333,66.02499999999999,8.359166666666667,21.375833333333333,6.964166666666666,4.49
2020,21.629,67.935,8.938333333333333,20.416666666666668,6.364999999999999,4.49
2021,22.439000000000004,72.13166666666667,8.726666666666667,20.820833333333333,6.025833333333334,4.49
2022,24.973166666666664,79.30583333333333,9.2825,23.7975,7.989999999999999,4.49
2023,25.00466666666666,80.1925,9.414166666666667,23.1775,7.7491666666666665,4.49
2024,24.442833333333333,76.37,9.559166666666666,22.604166666666668,6.821666666666666,6.859166666666667
